unique_id,yr_month,iso_a3,cmn_cntry,un_cntry,city,cat_code,group,weight,index
2014_08_AFG_FOOD,2014_08,AFG,Afghanistan,Afghanistan,Kabul,FOOD,Food And Non-alcoholic Beverages ,472.16,86.27
2014_08_AFG_ALCO,2014_08,AFG,Afghanistan,Afghanistan,Kabul,ALCO,Alcoholic Beverages And Tobacco ,150.69,63.36
2014_08_AFG_CLTH,2014_08,AFG,Afghanistan,Afghanistan,Kabul,CLTH,Clothing And Footwear ,1.39,43.78
2014_08_AFG_HOUS,2014_08,AFG,Afghanistan,Afghanistan,Kabul,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1050.35,46.35
2014_08_AFG_FURN,2014_08,AFG,Afghanistan,Afghanistan,Kabul,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",,
2014_08_AFG_HEAL,2014_08,AFG,Afghanistan,Afghanistan,Kabul,HEAL,Health ,,
2014_08_AFG_TRNS,2014_08,AFG,Afghanistan,Afghanistan,Kabul,TRNS,Transport ,,
2014_08_AFG_COMM,2014_08,AFG,Afghanistan,Afghanistan,Kabul,COMM,Communication ,,
2014_08_AFG_CLTR,2014_08,AFG,Afghanistan,Afghanistan,Kabul,CLTR,Recreation And Culture ,,
2014_08_AFG_EDUC,2014_08,AFG,Afghanistan,Afghanistan,Kabul,EDUC,Education ,,
2014_08_AFG_RHTL,2014_08,AFG,Afghanistan,Afghanistan,Kabul,RHTL,Restaurants And Hotels ,191.29,55.6
2014_08_AFG_MISC,2014_08,AFG,Afghanistan,Afghanistan,Kabul,MISC,Miscellaneous Goods And Services ,122.58,79.83
2014_08_AFG_MEDI,2014_08,AFG,Afghanistan,Afghanistan,Kabul,MEDI,Medical Insurance ,392.75,51.45
2014_08_AFG_PNSN,2014_08,AFG,Afghanistan,Afghanistan,Kabul,PNSN,Pension Contribution ,899.71,100.0
2014_08_AFG_OUTA,2014_08,AFG,Afghanistan,Afghanistan,Kabul,OUTA,Out Area ,4921.38,100.0
2014_08_AFG_TOTL,2014_08,AFG,Afghanistan,Afghanistan,Kabul,TOTL,Total,8202.3,87.85787508286462
2014_08_ALB_FOOD,2014_08,ALB,Albania,Albania,Tirana,FOOD,Food And Non-alcoholic Beverages ,810.23,68.27
2014_08_ALB_ALCO,2014_08,ALB,Albania,Albania,Tirana,ALCO,Alcoholic Beverages And Tobacco ,129.54,80.42
2014_08_ALB_CLTH,2014_08,ALB,Albania,Albania,Tirana,CLTH,Clothing And Footwear ,181.62,46.12
2014_08_ALB_HOUS,2014_08,ALB,Albania,Albania,Tirana,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1705.53,63.09
2014_08_ALB_FURN,2014_08,ALB,Albania,Albania,Tirana,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",104.94,72.94
2014_08_ALB_HEAL,2014_08,ALB,Albania,Albania,Tirana,HEAL,Health ,190.27,50.79
2014_08_ALB_TRNS,2014_08,ALB,Albania,Albania,Tirana,TRNS,Transport ,635.67,69.44
2014_08_ALB_COMM,2014_08,ALB,Albania,Albania,Tirana,COMM,Communication ,126.82,65.98
2014_08_ALB_CLTR,2014_08,ALB,Albania,Albania,Tirana,CLTR,Recreation And Culture ,92.58,70.73
2014_08_ALB_EDUC,2014_08,ALB,Albania,Albania,Tirana,EDUC,Education ,170.36,56.78
2014_08_ALB_RHTL,2014_08,ALB,Albania,Albania,Tirana,RHTL,Restaurants And Hotels ,501.58,56.53
2014_08_ALB_MISC,2014_08,ALB,Albania,Albania,Tirana,MISC,Miscellaneous Goods And Services ,236.22,61.92
2014_08_ALB_MEDI,2014_08,ALB,Albania,Albania,Tirana,MEDI,Medical Insurance ,338.55,33.03
2014_08_ALB_PNSN,2014_08,ALB,Albania,Albania,Tirana,PNSN,Pension Contribution ,1037.95,100.0
2014_08_ALB_OUTA,2014_08,ALB,Albania,Albania,Tirana,OUTA,Out Area ,2683.66,100.0
2014_08_ALB_TOTL,2014_08,ALB,Albania,Albania,Tirana,TOTL,Total,8945.52,77.39433611491985
2014_08_DZA_FOOD,2014_08,DZA,Algeria,Algeria,Algiers,FOOD,Food And Non-alcoholic Beverages ,612.24,78.02
