unique_id,yr_month,iso_a3,cmn_cntry,un_cntry,city,cat_code,group,weight,index
2015_06_AFG_FOOD,2015_06,AFG,Afghanistan,Afghanistan,Kabul,FOOD,Food And Non-alcoholic Beverages ,472.16,83.79
2015_06_AFG_ALCO,2015_06,AFG,Afghanistan,Afghanistan,Kabul,ALCO,Alcoholic Beverages And Tobacco ,150.69,62.32
2015_06_AFG_CLTH,2015_06,AFG,Afghanistan,Afghanistan,Kabul,CLTH,Clothing And Footwear ,1.39,43.22
2015_06_AFG_HOUS,2015_06,AFG,Afghanistan,Afghanistan,Kabul,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1050.35,45.44
2015_06_AFG_FURN,2015_06,AFG,Afghanistan,Afghanistan,Kabul,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",,
2015_06_AFG_HEAL,2015_06,AFG,Afghanistan,Afghanistan,Kabul,HEAL,Health ,,
2015_06_AFG_TRNS,2015_06,AFG,Afghanistan,Afghanistan,Kabul,TRNS,Transport ,,
2015_06_AFG_COMM,2015_06,AFG,Afghanistan,Afghanistan,Kabul,COMM,Communication ,,
2015_06_AFG_CLTR,2015_06,AFG,Afghanistan,Afghanistan,Kabul,CLTR,Recreation And Culture ,,
2015_06_AFG_EDUC,2015_06,AFG,Afghanistan,Afghanistan,Kabul,EDUC,Education ,,
2015_06_AFG_RHTL,2015_06,AFG,Afghanistan,Afghanistan,Kabul,RHTL,Restaurants And Hotels ,191.29,54.26
2015_06_AFG_MISC,2015_06,AFG,Afghanistan,Afghanistan,Kabul,MISC,Miscellaneous Goods And Services ,122.58,78.73
2015_06_AFG_MEDI,2015_06,AFG,Afghanistan,Afghanistan,Kabul,MEDI,Medical Insurance ,392.75,52.61
2015_06_AFG_PNSN,2015_06,AFG,Afghanistan,Afghanistan,Kabul,PNSN,Pension Contribution ,899.71,100.0
2015_06_AFG_OUTA,2015_06,AFG,Afghanistan,Afghanistan,Kabul,OUTA,Out Area ,4921.38,100.0
2015_06_AFG_TOTL,2015_06,AFG,Afghanistan,Afghanistan,Kabul,TOTL,Total,8202.3,87.59434745410245
2015_06_ALB_FOOD,2015_06,ALB,Albania,Albania,Tirana,FOOD,Food And Non-alcoholic Beverages ,810.23,59.24
2015_06_ALB_ALCO,2015_06,ALB,Albania,Albania,Tirana,ALCO,Alcoholic Beverages And Tobacco ,129.54,65.36
2015_06_ALB_CLTH,2015_06,ALB,Albania,Albania,Tirana,CLTH,Clothing And Footwear ,181.62,36.36
2015_06_ALB_HOUS,2015_06,ALB,Albania,Albania,Tirana,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1705.53,49.5
2015_06_ALB_FURN,2015_06,ALB,Albania,Albania,Tirana,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",104.94,58.2
2015_06_ALB_HEAL,2015_06,ALB,Albania,Albania,Tirana,HEAL,Health ,190.27,40.12
2015_06_ALB_TRNS,2015_06,ALB,Albania,Albania,Tirana,TRNS,Transport ,635.67,68.08
2015_06_ALB_COMM,2015_06,ALB,Albania,Albania,Tirana,COMM,Communication ,126.82,54.95
2015_06_ALB_CLTR,2015_06,ALB,Albania,Albania,Tirana,CLTR,Recreation And Culture ,92.58,57.68
2015_06_ALB_EDUC,2015_06,ALB,Albania,Albania,Tirana,EDUC,Education ,170.36,56.67
2015_06_ALB_RHTL,2015_06,ALB,Albania,Albania,Tirana,RHTL,Restaurants And Hotels ,501.58,44.14
2015_06_ALB_MISC,2015_06,ALB,Albania,Albania,Tirana,MISC,Miscellaneous Goods And Services ,236.22,50.02
2015_06_ALB_MEDI,2015_06,ALB,Albania,Albania,Tirana,MEDI,Medical Insurance ,338.55,31.28
2015_06_ALB_PNSN,2015_06,ALB,Albania,Albania,Tirana,PNSN,Pension Contribution ,1037.95,100.0
2015_06_ALB_OUTA,2015_06,ALB,Albania,Albania,Tirana,OUTA,Out Area ,2683.66,100.0
2015_06_ALB_TOTL,2015_06,ALB,Albania,Albania,Tirana,TOTL,Total,8945.52,71.56425693181758
2015_06_DZA_FOOD,2015_06,DZA,Algeria,Algeria,Algiers,FOOD,Food And Non-alcoholic Beverages ,612.24,66.37
2015_06_DZA_ALCO,2015_06,DZA,Algeria,Algeria,Algiers,ALCO,Alcoholic Beverages And Tobacco ,89.06,
2015_06_DZA_CLTH,2015_06,DZA,Algeria,Algeria,Algiers,CLTH,Clothing And Footwear ,82.5,26.14
2015_06_DZA_HOUS,2015_06,DZA,Algeria,Algeria,Algiers,HOUS,"Housing, Water, Electricity, Gas And Fuels ",3211.05,65.26
2015_06_DZA_FURN,2015_06,DZA,Algeria,Algeria,Algiers,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",84.1,60.54
2015_06_DZA_HEAL,2015_06,DZA,Algeria,Algeria,Algiers,HEAL,Health ,,
2015_06_DZA_TRNS,2015_06,DZA,Algeria,Algeria,Algiers,TRNS,Transport ,296.46,33.95
2015_06_DZA_COMM,2015_06,DZA,Algeria,Algeria,Algiers,COMM,Communication ,99.33,51.27
2015_06_DZA_CLTR,2015_06,DZA,Algeria,Algeria,Algiers,CLTR,Recreation And Culture ,187.61,52.09
2015_06_DZA_EDUC,2015_06,DZA,Algeria,Algeria,Algiers,EDUC,Education ,,
2015_06_DZA_RHTL,2015_06,DZA,Algeria,Algeria,Algiers,RHTL,Restaurants And Hotels ,411.38,51.78
2015_06_DZA_MISC,2015_06,DZA,Algeria,Algeria,Algiers,MISC,Miscellaneous Goods And Services ,189.93,91.15
2015_06_DZA_MEDI,2015_06,DZA,Algeria,Algeria,Algiers,MEDI,Medical Insurance ,394.83,36.13
2015_06_DZA_PNSN,2015_06,DZA,Algeria,Algeria,Algiers,PNSN,Pension Contribution ,1058.01,100.0
2015_06_DZA_OUTA,2015_06,DZA,Algeria,Algeria,Algiers,OUTA,Out Area ,2878.5,100.0
2015_06_DZA_TOTL,2015_06,DZA,Algeria,Algeria,Algiers,TOTL,Total,9595.0,75.95653502079236
2015_06_AGO_FOOD,2015_06,AGO,Angola,Angola,Luanda,FOOD,Food And Non-alcoholic Beverages ,886.26,141.84
2015_06_AGO_ALCO,2015_06,AGO,Angola,Angola,Luanda,ALCO,Alcoholic Beverages And Tobacco ,137.89,136.67
2015_06_AGO_CLTH,2015_06,AGO,Angola,Angola,Luanda,CLTH,Clothing And Footwear ,186.37,195.95
2015_06_AGO_HOUS,2015_06,AGO,Angola,Angola,Luanda,HOUS,"Housing, Water, Electricity, Gas And Fuels ",3760.27,119.78
2015_06_AGO_FURN,2015_06,AGO,Angola,Angola,Luanda,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",131.73,202.92
2015_06_AGO_HEAL,2015_06,AGO,Angola,Angola,Luanda,HEAL,Health ,147.58,117.1
2015_06_AGO_TRNS,2015_06,AGO,Angola,Angola,Luanda,TRNS,Transport ,482.12,88.45
2015_06_AGO_COMM,2015_06,AGO,Angola,Angola,Luanda,COMM,Communication ,166.84,220.13
2015_06_AGO_CLTR,2015_06,AGO,Angola,Angola,Luanda,CLTR,Recreation And Culture ,290.74,154.71
2015_06_AGO_EDUC,2015_06,AGO,Angola,Angola,Luanda,EDUC,Education ,232.72,84.66
2015_06_AGO_RHTL,2015_06,AGO,Angola,Angola,Luanda,RHTL,Restaurants And Hotels ,599.65,155.51
2015_06_AGO_MISC,2015_06,AGO,Angola,Angola,Luanda,MISC,Miscellaneous Goods And Services ,266.52,123.56
2015_06_AGO_MEDI,2015_06,AGO,Angola,Angola,Luanda,MEDI,Medical Insurance ,483.64,48.69
2015_06_AGO_PNSN,2015_06,AGO,Angola,Angola,Luanda,PNSN,Pension Contribution ,1058.01,100.0
2015_06_AGO_OUTA,2015_06,AGO,Angola,Angola,Luanda,OUTA,Out Area ,3784.44,100.0
2015_06_AGO_TOTL,2015_06,AGO,Angola,Angola,Luanda,TOTL,Total,12614.779999999999,113.90727201013537
2015_06_ARG_FOOD,2015_06,ARG,Argentina,Argentina,Buenos Aires,FOOD,Food And Non-alcoholic Beverages ,469.46,68.0
2015_06_ARG_ALCO,2015_06,ARG,Argentina,Argentina,Buenos Aires,ALCO,Alcoholic Beverages And Tobacco ,77.72,102.98
2015_06_ARG_CLTH,2015_06,ARG,Argentina,Argentina,Buenos Aires,CLTH,Clothing And Footwear ,247.32,99.23
2015_06_ARG_HOUS,2015_06,ARG,Argentina,Argentina,Buenos Aires,HOUS,"Housing, Water, Electricity, Gas And Fuels ",2642.6,80.04
2015_06_ARG_FURN,2015_06,ARG,Argentina,Argentina,Buenos Aires,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",74.73,86.17
2015_06_ARG_HEAL,2015_06,ARG,Argentina,Argentina,Buenos Aires,HEAL,Health ,117.27,44.76
2015_06_ARG_TRNS,2015_06,ARG,Argentina,Argentina,Buenos Aires,TRNS,Transport ,418.81,99.4
2015_06_ARG_COMM,2015_06,ARG,Argentina,Argentina,Buenos Aires,COMM,Communication ,96.42,75.92
2015_06_ARG_CLTR,2015_06,ARG,Argentina,Argentina,Buenos Aires,CLTR,Recreation And Culture ,239.22,86.44
2015_06_ARG_EDUC,2015_06,ARG,Argentina,Argentina,Buenos Aires,EDUC,Education ,147.81,49.73
2015_06_ARG_RHTL,2015_06,ARG,Argentina,Argentina,Buenos Aires,RHTL,Restaurants And Hotels ,323.99,67.64
2015_06_ARG_MISC,2015_06,ARG,Argentina,Argentina,Buenos Aires,MISC,Miscellaneous Goods And Services ,166.6,82.81
2015_06_ARG_MEDI,2015_06,ARG,Argentina,Argentina,Buenos Aires,MEDI,Medical Insurance ,420.95,42.56
2015_06_ARG_PNSN,2015_06,ARG,Argentina,Argentina,Buenos Aires,PNSN,Pension Contribution ,1058.01,100.0
2015_06_ARG_OUTA,2015_06,ARG,Argentina,Argentina,Buenos Aires,OUTA,Out Area ,2786.1,100.0
2015_06_ARG_TOTL,2015_06,ARG,Argentina,Argentina,Buenos Aires,TOTL,Total,9287.01,85.91156274857227
2015_06_ARM_FOOD,2015_06,ARM,Armenia,Armenia,Yerevan,FOOD,Food And Non-alcoholic Beverages ,474.75,70.1
2015_06_ARM_ALCO,2015_06,ARM,Armenia,Armenia,Yerevan,ALCO,Alcoholic Beverages And Tobacco ,75.22,84.32
2015_06_ARM_CLTH,2015_06,ARM,Armenia,Armenia,Yerevan,CLTH,Clothing And Footwear ,237.74,56.28
2015_06_ARM_HOUS,2015_06,ARM,Armenia,Armenia,Yerevan,HOUS,"Housing, Water, Electricity, Gas And Fuels ",2082.6,75.96
2015_06_ARM_FURN,2015_06,ARM,Armenia,Armenia,Yerevan,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",71.69,93.81
2015_06_ARM_HEAL,2015_06,ARM,Armenia,Armenia,Yerevan,HEAL,Health ,141.26,43.33
2015_06_ARM_TRNS,2015_06,ARM,Armenia,Armenia,Yerevan,TRNS,Transport ,435.61,89.1
2015_06_ARM_COMM,2015_06,ARM,Armenia,Armenia,Yerevan,COMM,Communication ,99.55,46.0
2015_06_ARM_CLTR,2015_06,ARM,Armenia,Armenia,Yerevan,CLTR,Recreation And Culture ,232.52,57.77
2015_06_ARM_EDUC,2015_06,ARM,Armenia,Armenia,Yerevan,EDUC,Education ,97.96,71.27
2015_06_ARM_RHTL,2015_06,ARM,Armenia,Armenia,Yerevan,RHTL,Restaurants And Hotels ,306.82,49.12
2015_06_ARM_MISC,2015_06,ARM,Armenia,Armenia,Yerevan,MISC,Miscellaneous Goods And Services ,168.3,62.74
2015_06_ARM_MEDI,2015_06,ARM,Armenia,Armenia,Yerevan,MEDI,Medical Insurance ,387.45,36.35
2015_06_ARM_PNSN,2015_06,ARM,Armenia,Armenia,Yerevan,PNSN,Pension Contribution ,1058.01,100.0
2015_06_ARM_OUTA,2015_06,ARM,Armenia,Armenia,Yerevan,OUTA,Out Area ,3913.0,100.0
2015_06_ARM_TOTL,2015_06,ARM,Armenia,Armenia,Yerevan,TOTL,Total,9782.48,83.87051862474617
2015_06_AUS_FOOD,2015_06,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",FOOD,Food And Non-alcoholic Beverages ,561.97,81.91
2015_06_AUS_ALCO,2015_06,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",ALCO,Alcoholic Beverages And Tobacco ,89.04,113.93
2015_06_AUS_CLTH,2015_06,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",CLTH,Clothing And Footwear ,309.52,91.99
2015_06_AUS_HOUS,2015_06,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",HOUS,"Housing, Water, Electricity, Gas And Fuels ",5000.45,73.04
2015_06_AUS_FURN,2015_06,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",381.99,93.32
2015_06_AUS_HEAL,2015_06,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",HEAL,Health ,167.21,82.85
2015_06_AUS_TRNS,2015_06,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",TRNS,Transport ,666.11,90.54
2015_06_AUS_COMM,2015_06,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",COMM,Communication ,134.11,143.08
2015_06_AUS_CLTR,2015_06,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",CLTR,Recreation And Culture ,450.1,121.9
2015_06_AUS_EDUC,2015_06,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",EDUC,Education ,249.04,35.6
2015_06_AUS_RHTL,2015_06,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",RHTL,Restaurants And Hotels ,363.19,83.18
2015_06_AUS_MISC,2015_06,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",MISC,Miscellaneous Goods And Services ,204.25,100.26
2015_06_AUS_MEDI,2015_06,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",MEDI,Medical Insurance ,474.23,37.43
2015_06_AUS_PNSN,2015_06,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",PNSN,Pension Contribution ,1037.95,100.0
2015_06_AUS_OUTA,2015_06,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",OUTA,Out Area ,2940.77,100.0
2015_06_AUS_TOTL,2015_06,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",TOTL,Total,13029.93,84.2205338313431
2015_06_AUT_FOOD,2015_06,AUT,Austria,Austria,Vienna,FOOD,Food And Non-alcoholic Beverages ,636.91,91.45
2015_06_AUT_ALCO,2015_06,AUT,Austria,Austria,Vienna,ALCO,Alcoholic Beverages And Tobacco ,100.92,83.27
2015_06_AUT_CLTH,2015_06,AUT,Austria,Austria,Vienna,CLTH,Clothing And Footwear ,350.79,102.45
2015_06_AUT_HOUS,2015_06,AUT,Austria,Austria,Vienna,HOUS,"Housing, Water, Electricity, Gas And Fuels ",2466.38,56.07
2015_06_AUT_FURN,2015_06,AUT,Austria,Austria,Vienna,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",432.93,85.61
2015_06_AUT_HEAL,2015_06,AUT,Austria,Austria,Vienna,HEAL,Health ,189.51,75.76
2015_06_AUT_TRNS,2015_06,AUT,Austria,Austria,Vienna,TRNS,Transport ,754.94,118.71
2015_06_AUT_COMM,2015_06,AUT,Austria,Austria,Vienna,COMM,Communication ,151.99,138.54
2015_06_AUT_CLTR,2015_06,AUT,Austria,Austria,Vienna,CLTR,Recreation And Culture ,510.12,111.61
2015_06_AUT_EDUC,2015_06,AUT,Austria,Austria,Vienna,EDUC,Education ,282.25,47.27
2015_06_AUT_RHTL,2015_06,AUT,Austria,Austria,Vienna,RHTL,Restaurants And Hotels ,411.62,81.02
2015_06_AUT_MISC,2015_06,AUT,Austria,Austria,Vienna,MISC,Miscellaneous Goods And Services ,231.49,109.07
2015_06_AUT_MEDI,2015_06,AUT,Austria,Austria,Vienna,MEDI,Medical Insurance ,704.84,57.2
2015_06_AUT_PNSN,2015_06,AUT,Austria,Austria,Vienna,PNSN,Pension Contribution ,1010.39,100.0
2015_06_AUT_OUTA,2015_06,AUT,Austria,Austria,Vienna,OUTA,Out Area ,2471.05,100.0
2015_06_AUT_TOTL,2015_06,AUT,Austria,Austria,Vienna,TOTL,Total,10706.129999999997,84.97580231123861
2015_06_AZE_FOOD,2015_06,AZE,Azerbaijan,Azerbaijan,Baku,FOOD,Food And Non-alcoholic Beverages ,762.64,111.15
2015_06_AZE_ALCO,2015_06,AZE,Azerbaijan,Azerbaijan,Baku,ALCO,Alcoholic Beverages And Tobacco ,110.65,95.15
