unique_id,yr_month,iso_a3,cmn_cntry,un_cntry,city,cat_code,group,weight,index
2007_06_AFG_FOOD,2007_06,AFG,Afghanistan,Afghanistan,Kabul,FOOD,Food And Non-alcoholic Beverages ,472.16,108.04
2007_06_AFG_ALCO,2007_06,AFG,Afghanistan,Afghanistan,Kabul,ALCO,Alcoholic Beverages And Tobacco ,150.69,73.87
2007_06_AFG_CLTH,2007_06,AFG,Afghanistan,Afghanistan,Kabul,CLTH,Clothing And Footwear ,1.39,51.1
2007_06_AFG_HOUS,2007_06,AFG,Afghanistan,Afghanistan,Kabul,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1050.35,49.98
2007_06_AFG_FURN,2007_06,AFG,Afghanistan,Afghanistan,Kabul,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",,
2007_06_AFG_HEAL,2007_06,AFG,Afghanistan,Afghanistan,Kabul,HEAL,Health ,,
2007_06_AFG_TRNS,2007_06,AFG,Afghanistan,Afghanistan,Kabul,TRNS,Transport ,,
2007_06_AFG_COMM,2007_06,AFG,Afghanistan,Afghanistan,Kabul,COMM,Communication ,,
2007_06_AFG_CLTR,2007_06,AFG,Afghanistan,Afghanistan,Kabul,CLTR,Recreation And Culture ,,
2007_06_AFG_EDUC,2007_06,AFG,Afghanistan,Afghanistan,Kabul,EDUC,Education ,,
2007_06_AFG_RHTL,2007_06,AFG,Afghanistan,Afghanistan,Kabul,RHTL,Restaurants And Hotels ,191.29,68.44
2007_06_AFG_MISC,2007_06,AFG,Afghanistan,Afghanistan,Kabul,MISC,Miscellaneous Goods And Services ,122.58,89.31
2007_06_AFG_MEDI,2007_06,AFG,Afghanistan,Afghanistan,Kabul,MEDI,Medical Insurance ,392.75,51.57
2007_06_AFG_PNSN,2007_06,AFG,Afghanistan,Afghanistan,Kabul,PNSN,Pension Contribution ,899.71,100.0
2007_06_AFG_OUTA,2007_06,AFG,Afghanistan,Afghanistan,Kabul,OUTA,Out Area ,4921.38,100.0
2007_06_AFG_TOTL,2007_06,AFG,Afghanistan,Afghanistan,Kabul,TOTL,Total,8202.3,90.15815406908249
2007_06_ALB_FOOD,2007_06,ALB,Albania,Albania,Tirana,FOOD,Food And Non-alcoholic Beverages ,1074.46,83.61
2007_06_ALB_ALCO,2007_06,ALB,Albania,Albania,Tirana,ALCO,Alcoholic Beverages And Tobacco ,101.12,67.0
2007_06_ALB_CLTH,2007_06,ALB,Albania,Albania,Tirana,CLTH,Clothing And Footwear ,,
2007_06_ALB_HOUS,2007_06,ALB,Albania,Albania,Tirana,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1267.28,51.8
2007_06_ALB_FURN,2007_06,ALB,Albania,Albania,Tirana,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",119.37,113.85
2007_06_ALB_HEAL,2007_06,ALB,Albania,Albania,Tirana,HEAL,Health ,95.52,59.24
2007_06_ALB_TRNS,2007_06,ALB,Albania,Albania,Tirana,TRNS,Transport ,221.88,92.21
2007_06_ALB_COMM,2007_06,ALB,Albania,Albania,Tirana,COMM,Communication ,276.15,147.35
2007_06_ALB_CLTR,2007_06,ALB,Albania,Albania,Tirana,CLTR,Recreation And Culture ,331.4,84.64
2007_06_ALB_EDUC,2007_06,ALB,Albania,Albania,Tirana,EDUC,Education ,,
2007_06_ALB_RHTL,2007_06,ALB,Albania,Albania,Tirana,RHTL,Restaurants And Hotels ,226.6,43.28
2007_06_ALB_MISC,2007_06,ALB,Albania,Albania,Tirana,MISC,Miscellaneous Goods And Services ,104.18,156.27
2007_06_ALB_MEDI,2007_06,ALB,Albania,Albania,Tirana,MEDI,Medical Insurance ,235.72,100.0
