unique_id,yr_month,iso_a3,cmn_cntry,un_cntry,city,cat_code,group,weight,index
2010_04_AFG_FOOD,2010_04,AFG,Afghanistan,Afghanistan,Kabul,FOOD,Food And Non-alcoholic Beverages ,472.16,100.69
2010_04_AFG_ALCO,2010_04,AFG,Afghanistan,Afghanistan,Kabul,ALCO,Alcoholic Beverages And Tobacco ,150.69,68.81
2010_04_AFG_CLTH,2010_04,AFG,Afghanistan,Afghanistan,Kabul,CLTH,Clothing And Footwear ,1.39,46.69
2010_04_AFG_HOUS,2010_04,AFG,Afghanistan,Afghanistan,Kabul,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1050.35,49.72
2010_04_AFG_FURN,2010_04,AFG,Afghanistan,Afghanistan,Kabul,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",,
2010_04_AFG_HEAL,2010_04,AFG,Afghanistan,Afghanistan,Kabul,HEAL,Health ,,
2010_04_AFG_TRNS,2010_04,AFG,Afghanistan,Afghanistan,Kabul,TRNS,Transport ,,
2010_04_AFG_COMM,2010_04,AFG,Afghanistan,Afghanistan,Kabul,COMM,Communication ,,
2010_04_AFG_CLTR,2010_04,AFG,Afghanistan,Afghanistan,Kabul,CLTR,Recreation And Culture ,,
2010_04_AFG_EDUC,2010_04,AFG,Afghanistan,Afghanistan,Kabul,EDUC,Education ,,
2010_04_AFG_RHTL,2010_04,AFG,Afghanistan,Afghanistan,Kabul,RHTL,Restaurants And Hotels ,191.29,62.52
2010_04_AFG_MISC,2010_04,AFG,Afghanistan,Afghanistan,Kabul,MISC,Miscellaneous Goods And Services ,122.58,84.9
2010_04_AFG_MEDI,2010_04,AFG,Afghanistan,Afghanistan,Kabul,MEDI,Medical Insurance ,392.75,50.84
2010_04_AFG_PNSN,2010_04,AFG,Afghanistan,Afghanistan,Kabul,PNSN,Pension Contribution ,899.71,100.0
2010_04_AFG_OUTA,2010_04,AFG,Afghanistan,Afghanistan,Kabul,OUTA,Out Area ,4921.38,100.0
2010_04_AFG_TOTL,2010_04,AFG,Afghanistan,Afghanistan,Kabul,TOTL,Total,8202.3,89.37246005291802
2010_04_ALB_FOOD,2010_04,ALB,Albania,Albania,Tirana,FOOD,Food And Non-alcoholic Beverages ,1219.88,62.72
2010_04_ALB_ALCO,2010_04,ALB,Albania,Albania,Tirana,ALCO,Alcoholic Beverages And Tobacco ,135.98,87.39
2010_04_ALB_CLTH,2010_04,ALB,Albania,Albania,Tirana,CLTH,Clothing And Footwear ,68.44,86.38
2010_04_ALB_HOUS,2010_04,ALB,Albania,Albania,Tirana,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1641.98,47.98
2010_04_ALB_FURN,2010_04,ALB,Albania,Albania,Tirana,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",147.75,82.08
2010_04_ALB_HEAL,2010_04,ALB,Albania,Albania,Tirana,HEAL,Health ,265.56,45.12
2010_04_ALB_TRNS,2010_04,ALB,Albania,Albania,Tirana,TRNS,Transport ,464.59,74.83
2010_04_ALB_COMM,2010_04,ALB,Albania,Albania,Tirana,COMM,Communication ,257.84,104.64
2010_04_ALB_CLTR,2010_04,ALB,Albania,Albania,Tirana,CLTR,Recreation And Culture ,339.7,74.65
2010_04_ALB_EDUC,2010_04,ALB,Albania,Albania,Tirana,EDUC,Education ,101.98,49.79
2010_04_ALB_RHTL,2010_04,ALB,Albania,Albania,Tirana,RHTL,Restaurants And Hotels ,306.21,72.04
2010_04_ALB_MISC,2010_04,ALB,Albania,Albania,Tirana,MISC,Miscellaneous Goods And Services ,231.8,58.8
2010_04_ALB_MEDI,2010_04,ALB,Albania,Albania,Tirana,MEDI,Medical Insurance ,350.66,38.14
2010_04_ALB_PNSN,2010_04,ALB,Albania,Albania,Tirana,PNSN,Pension Contribution ,1010.39,100.0
2010_04_ALB_OUTA,2010_04,ALB,Albania,Albania,Tirana,OUTA,Out Area ,2804.04,100.0
2010_04_ALB_TOTL,2010_04,ALB,Albania,Albania,Tirana,TOTL,Total,9346.8,76.49666631483565
2010_04_DZA_FOOD,2010_04,DZA,Algeria,Algeria,Algiers,FOOD,Food And Non-alcoholic Beverages ,874.71,66.98
2010_04_DZA_ALCO,2010_04,DZA,Algeria,Algeria,Algiers,ALCO,Alcoholic Beverages And Tobacco ,110.11,94.14
2010_04_DZA_CLTH,2010_04,DZA,Algeria,Algeria,Algiers,CLTH,Clothing And Footwear ,4.82,44.39
2010_04_DZA_HOUS,2010_04,DZA,Algeria,Algeria,Algiers,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1998.56,58.58
2010_04_DZA_FURN,2010_04,DZA,Algeria,Algeria,Algiers,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",66.65,96.09
2010_04_DZA_HEAL,2010_04,DZA,Algeria,Algeria,Algiers,HEAL,Health ,69.69,174.32
2010_04_DZA_TRNS,2010_04,DZA,Algeria,Algeria,Algiers,TRNS,Transport ,147.34,65.78
2010_04_DZA_COMM,2010_04,DZA,Algeria,Algeria,Algiers,COMM,Communication ,188.06,62.51
2010_04_DZA_CLTR,2010_04,DZA,Algeria,Algeria,Algiers,CLTR,Recreation And Culture ,298.65,91.81
2010_04_DZA_EDUC,2010_04,DZA,Algeria,Algeria,Algiers,EDUC,Education ,,
2010_04_DZA_RHTL,2010_04,DZA,Algeria,Algeria,Algiers,RHTL,Restaurants And Hotels ,192.85,60.41
2010_04_DZA_MISC,2010_04,DZA,Algeria,Algeria,Algiers,MISC,Miscellaneous Goods And Services ,136.06,37.74
2010_04_DZA_MEDI,2010_04,DZA,Algeria,Algeria,Algiers,MEDI,Medical Insurance ,342.46,42.86
2010_04_DZA_PNSN,2010_04,DZA,Algeria,Algeria,Algiers,PNSN,Pension Contribution ,948.26,100.0
2010_04_DZA_OUTA,2010_04,DZA,Algeria,Algeria,Algiers,OUTA,Out Area ,3585.49,100.0
2010_04_DZA_TOTL,2010_04,DZA,Algeria,Algeria,Algiers,TOTL,Total,8963.71,81.70531267946217
2010_04_AGO_FOOD,2010_04,AGO,Angola,Angola,Luanda,FOOD,Food And Non-alcoholic Beverages ,1010.7,107.6
2010_04_AGO_ALCO,2010_04,AGO,Angola,Angola,Luanda,ALCO,Alcoholic Beverages And Tobacco ,122.62,114.27
2010_04_AGO_CLTH,2010_04,AGO,Angola,Angola,Luanda,CLTH,Clothing And Footwear ,50.29,138.16
2010_04_AGO_HOUS,2010_04,AGO,Angola,Angola,Luanda,HOUS,"Housing, Water, Electricity, Gas And Fuels ",3584.98,121.87
2010_04_AGO_FURN,2010_04,AGO,Angola,Angola,Luanda,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",120.38,133.47
2010_04_AGO_HEAL,2010_04,AGO,Angola,Angola,Luanda,HEAL,Health ,215.31,102.09
2010_04_AGO_TRNS,2010_04,AGO,Angola,Angola,Luanda,TRNS,Transport ,305.6,56.04
2010_04_AGO_COMM,2010_04,AGO,Angola,Angola,Luanda,COMM,Communication ,206.65,121.05
2010_04_AGO_CLTR,2010_04,AGO,Angola,Angola,Luanda,CLTR,Recreation And Culture ,216.36,98.43
2010_04_AGO_EDUC,2010_04,AGO,Angola,Angola,Luanda,EDUC,Education ,,
2010_04_AGO_RHTL,2010_04,AGO,Angola,Angola,Luanda,RHTL,Restaurants And Hotels ,268.57,103.54
2010_04_AGO_MISC,2010_04,AGO,Angola,Angola,Luanda,MISC,Miscellaneous Goods And Services ,137.42,68.72
2010_04_AGO_MEDI,2010_04,AGO,Angola,Angola,Luanda,MEDI,Medical Insurance ,361.96,46.99
2010_04_AGO_PNSN,2010_04,AGO,Angola,Angola,Luanda,PNSN,Pension Contribution ,1010.39,100.0
2010_04_AGO_OUTA,2010_04,AGO,Angola,Angola,Luanda,OUTA,Out Area ,3261.97,100.0
2010_04_AGO_TOTL,2010_04,AGO,Angola,Angola,Luanda,TOTL,Total,10873.2,105.10564660344838
2010_04_ARG_FOOD,2010_04,ARG,Argentina,Argentina,Buenos Aires,FOOD,Food And Non-alcoholic Beverages ,656.93,48.26
2010_04_ARG_ALCO,2010_04,ARG,Argentina,Argentina,Buenos Aires,ALCO,Alcoholic Beverages And Tobacco ,76.84,57.64
2010_04_ARG_CLTH,2010_04,ARG,Argentina,Argentina,Buenos Aires,CLTH,Clothing And Footwear ,131.9,52.07
2010_04_ARG_HOUS,2010_04,ARG,Argentina,Argentina,Buenos Aires,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1983.36,69.28
2010_04_ARG_FURN,2010_04,ARG,Argentina,Argentina,Buenos Aires,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",81.43,65.05
2010_04_ARG_HEAL,2010_04,ARG,Argentina,Argentina,Buenos Aires,HEAL,Health ,171.45,43.43
2010_04_ARG_TRNS,2010_04,ARG,Argentina,Argentina,Buenos Aires,TRNS,Transport ,301.89,71.18
2010_04_ARG_COMM,2010_04,ARG,Argentina,Argentina,Buenos Aires,COMM,Communication ,132.05,68.68
2010_04_ARG_CLTR,2010_04,ARG,Argentina,Argentina,Buenos Aires,CLTR,Recreation And Culture ,250.35,90.28
2010_04_ARG_EDUC,2010_04,ARG,Argentina,Argentina,Buenos Aires,EDUC,Education ,45.67,18.65
2010_04_ARG_RHTL,2010_04,ARG,Argentina,Argentina,Buenos Aires,RHTL,Restaurants And Hotels ,167.62,46.42
2010_04_ARG_MISC,2010_04,ARG,Argentina,Argentina,Buenos Aires,MISC,Miscellaneous Goods And Services ,151.94,50.25
2010_04_ARG_MEDI,2010_04,ARG,Argentina,Argentina,Buenos Aires,MEDI,Medical Insurance ,280.86,39.13
2010_04_ARG_PNSN,2010_04,ARG,Argentina,Argentina,Buenos Aires,PNSN,Pension Contribution ,918.95,100.0
2010_04_ARG_OUTA,2010_04,ARG,Argentina,Argentina,Buenos Aires,OUTA,Out Area ,2293.39,100.0
2010_04_ARG_TOTL,2010_04,ARG,Argentina,Argentina,Buenos Aires,TOTL,Total,7644.629999999999,77.20033719104559
2010_04_ARM_FOOD,2010_04,ARM,Armenia,Armenia,Yerevan,FOOD,Food And Non-alcoholic Beverages ,638.89,75.98
2010_04_ARM_ALCO,2010_04,ARM,Armenia,Armenia,Yerevan,ALCO,Alcoholic Beverages And Tobacco ,91.46,107.84
2010_04_ARM_CLTH,2010_04,ARM,Armenia,Armenia,Yerevan,CLTH,Clothing And Footwear ,4.51,65.22
2010_04_ARM_HOUS,2010_04,ARM,Armenia,Armenia,Yerevan,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1858.32,52.61
2010_04_ARM_FURN,2010_04,ARM,Armenia,Armenia,Yerevan,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",87.09,114.22
2010_04_ARM_HEAL,2010_04,ARM,Armenia,Armenia,Yerevan,HEAL,Health ,120.3,64.29
2010_04_ARM_TRNS,2010_04,ARM,Armenia,Armenia,Yerevan,TRNS,Transport ,346.76,59.26
2010_04_ARM_COMM,2010_04,ARM,Armenia,Armenia,Yerevan,COMM,Communication ,168.72,143.69
2010_04_ARM_CLTR,2010_04,ARM,Armenia,Armenia,Yerevan,CLTR,Recreation And Culture ,96.06,88.04
2010_04_ARM_EDUC,2010_04,ARM,Armenia,Armenia,Yerevan,EDUC,Education ,,
2010_04_ARM_RHTL,2010_04,ARM,Armenia,Armenia,Yerevan,RHTL,Restaurants And Hotels ,156.56,62.55
2010_04_ARM_MISC,2010_04,ARM,Armenia,Armenia,Yerevan,MISC,Miscellaneous Goods And Services ,54.43,124.54
2010_04_ARM_MEDI,2010_04,ARM,Armenia,Armenia,Yerevan,MEDI,Medical Insurance ,335.55,41.04
2010_04_ARM_PNSN,2010_04,ARM,Armenia,Armenia,Yerevan,PNSN,Pension Contribution ,918.95,100.0
2010_04_ARM_OUTA,2010_04,ARM,Armenia,Armenia,Yerevan,OUTA,Out Area ,3251.73,100.0
2010_04_ARM_TOTL,2010_04,ARM,Armenia,Armenia,Yerevan,TOTL,Total,8129.33,82.27065712814428
2010_04_AUS_FOOD,2010_04,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",FOOD,Food And Non-alcoholic Beverages ,506.71,115.65
2010_04_AUS_ALCO,2010_04,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",ALCO,Alcoholic Beverages And Tobacco ,63.78,133.42
2010_04_AUS_CLTH,2010_04,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",CLTH,Clothing And Footwear ,108.22,87.49
2010_04_AUS_HOUS,2010_04,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",HOUS,"Housing, Water, Electricity, Gas And Fuels ",3186.21,99.31
2010_04_AUS_FURN,2010_04,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",251.34,122.17
2010_04_AUS_HEAL,2010_04,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",HEAL,Health ,161.16,134.11
2010_04_AUS_TRNS,2010_04,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",TRNS,Transport ,410.96,120.73
2010_04_AUS_COMM,2010_04,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",COMM,Communication ,110.09,106.34
2010_04_AUS_CLTR,2010_04,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",CLTR,Recreation And Culture ,245.8,168.46
2010_04_AUS_EDUC,2010_04,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",EDUC,Education ,57.55,
2010_04_AUS_RHTL,2010_04,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",RHTL,Restaurants And Hotels ,134.25,120.44
2010_04_AUS_MISC,2010_04,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",MISC,Miscellaneous Goods And Services ,132.8,84.39
2010_04_AUS_MEDI,2010_04,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",MEDI,Medical Insurance ,360.84,52.33
2010_04_AUS_PNSN,2010_04,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",PNSN,Pension Contribution ,918.95,100.0
2010_04_AUS_OUTA,2010_04,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",OUTA,Out Area ,2028.87,100.0
2010_04_AUS_TOTL,2010_04,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",TOTL,Total,8677.53,102.83168927103952
2010_04_AUT_FOOD,2010_04,AUT,Austria,Austria,Vienna,FOOD,Food And Non-alcoholic Beverages ,710.0,101.62
2010_04_AUT_ALCO,2010_04,AUT,Austria,Austria,Vienna,ALCO,Alcoholic Beverages And Tobacco ,89.37,71.79
2010_04_AUT_CLTH,2010_04,AUT,Austria,Austria,Vienna,CLTH,Clothing And Footwear ,151.64,118.29
2010_04_AUT_HOUS,2010_04,AUT,Austria,Austria,Vienna,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1885.87,66.27
2010_04_AUT_FURN,2010_04,AUT,Austria,Austria,Vienna,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",352.18,143.96
2010_04_AUT_HEAL,2010_04,AUT,Austria,Austria,Vienna,HEAL,Health ,225.82,95.62
2010_04_AUT_TRNS,2010_04,AUT,Austria,Austria,Vienna,TRNS,Transport ,575.85,129.75
