unique_id,yr_month,iso_a3,cmn_cntry,un_cntry,city,cat_code,group,weight,index
2014_06_AFG_FOOD,2014_06,AFG,Afghanistan,Afghanistan,Kabul,FOOD,Food And Non-alcoholic Beverages ,472.16,86.78
2014_06_AFG_ALCO,2014_06,AFG,Afghanistan,Afghanistan,Kabul,ALCO,Alcoholic Beverages And Tobacco ,150.69,63.56
2014_06_AFG_CLTH,2014_06,AFG,Afghanistan,Afghanistan,Kabul,CLTH,Clothing And Footwear ,1.39,43.89
2014_06_AFG_HOUS,2014_06,AFG,Afghanistan,Afghanistan,Kabul,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1050.35,46.54
2014_06_AFG_FURN,2014_06,AFG,Afghanistan,Afghanistan,Kabul,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",,
2014_06_AFG_HEAL,2014_06,AFG,Afghanistan,Afghanistan,Kabul,HEAL,Health ,,
2014_06_AFG_TRNS,2014_06,AFG,Afghanistan,Afghanistan,Kabul,TRNS,Transport ,,
2014_06_AFG_COMM,2014_06,AFG,Afghanistan,Afghanistan,Kabul,COMM,Communication ,,
2014_06_AFG_CLTR,2014_06,AFG,Afghanistan,Afghanistan,Kabul,CLTR,Recreation And Culture ,,
2014_06_AFG_EDUC,2014_06,AFG,Afghanistan,Afghanistan,Kabul,EDUC,Education ,,
2014_06_AFG_RHTL,2014_06,AFG,Afghanistan,Afghanistan,Kabul,RHTL,Restaurants And Hotels ,191.29,55.87
2014_06_AFG_MISC,2014_06,AFG,Afghanistan,Afghanistan,Kabul,MISC,Miscellaneous Goods And Services ,122.58,80.05
2014_06_AFG_MEDI,2014_06,AFG,Afghanistan,Afghanistan,Kabul,MEDI,Medical Insurance ,392.75,53.37
2014_06_AFG_PNSN,2014_06,AFG,Afghanistan,Afghanistan,Kabul,PNSN,Pension Contribution ,899.71,100.0
2014_06_AFG_OUTA,2014_06,AFG,Afghanistan,Afghanistan,Kabul,OUTA,Out Area ,4921.38,100.0
2014_06_AFG_TOTL,2014_06,AFG,Afghanistan,Afghanistan,Kabul,TOTL,Total,8202.3,88.01519538918515
2014_06_ALB_FOOD,2014_06,ALB,Albania,Albania,Tirana,FOOD,Food And Non-alcoholic Beverages ,810.23,72.04
2014_06_ALB_ALCO,2014_06,ALB,Albania,Albania,Tirana,ALCO,Alcoholic Beverages And Tobacco ,129.54,80.7
2014_06_ALB_CLTH,2014_06,ALB,Albania,Albania,Tirana,CLTH,Clothing And Footwear ,181.62,46.35
2014_06_ALB_HOUS,2014_06,ALB,Albania,Albania,Tirana,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1705.53,64.23
2014_06_ALB_FURN,2014_06,ALB,Albania,Albania,Tirana,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",104.94,72.86
2014_06_ALB_HEAL,2014_06,ALB,Albania,Albania,Tirana,HEAL,Health ,190.27,53.84
2014_06_ALB_TRNS,2014_06,ALB,Albania,Albania,Tirana,TRNS,Transport ,635.67,68.97
2014_06_ALB_COMM,2014_06,ALB,Albania,Albania,Tirana,COMM,Communication ,126.82,66.16
2014_06_ALB_CLTR,2014_06,ALB,Albania,Albania,Tirana,CLTR,Recreation And Culture ,92.58,71.99
2014_06_ALB_EDUC,2014_06,ALB,Albania,Albania,Tirana,EDUC,Education ,170.36,56.8
2014_06_ALB_RHTL,2014_06,ALB,Albania,Albania,Tirana,RHTL,Restaurants And Hotels ,501.58,57.2
2014_06_ALB_MISC,2014_06,ALB,Albania,Albania,Tirana,MISC,Miscellaneous Goods And Services ,236.22,63.62
2014_06_ALB_MEDI,2014_06,ALB,Albania,Albania,Tirana,MEDI,Medical Insurance ,338.55,34.54
2014_06_ALB_PNSN,2014_06,ALB,Albania,Albania,Tirana,PNSN,Pension Contribution ,1037.95,100.0
2014_06_ALB_OUTA,2014_06,ALB,Albania,Albania,Tirana,OUTA,Out Area ,2683.66,100.0
2014_06_ALB_TOTL,2014_06,ALB,Albania,Albania,Tirana,TOTL,Total,8945.52,78.14037869773303
2014_06_DZA_FOOD,2014_06,DZA,Algeria,Algeria,Algiers,FOOD,Food And Non-alcoholic Beverages ,612.24,79.59
2014_06_DZA_ALCO,2014_06,DZA,Algeria,Algeria,Algiers,ALCO,Alcoholic Beverages And Tobacco ,89.06,
2014_06_DZA_CLTH,2014_06,DZA,Algeria,Algeria,Algiers,CLTH,Clothing And Footwear ,82.5,31.54
2014_06_DZA_HOUS,2014_06,DZA,Algeria,Algeria,Algiers,HOUS,"Housing, Water, Electricity, Gas And Fuels ",3211.05,90.56
2014_06_DZA_FURN,2014_06,DZA,Algeria,Algeria,Algiers,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",84.1,73.52
2014_06_DZA_HEAL,2014_06,DZA,Algeria,Algeria,Algiers,HEAL,Health ,,
2014_06_DZA_TRNS,2014_06,DZA,Algeria,Algeria,Algiers,TRNS,Transport ,296.46,35.06
2014_06_DZA_COMM,2014_06,DZA,Algeria,Algeria,Algiers,COMM,Communication ,99.33,61.92
