unique_id,yr_month,iso_a3,cmn_cntry,un_cntry,city,cat_code,group,weight,index
2019_04_AFG_FOOD,2019_04,AFG,Afghanistan,Afghanistan,Kabul,FOOD,Food And Non-alcoholic Beverages ,472.16,89.45
2019_04_AFG_ALCO,2019_04,AFG,Afghanistan,Afghanistan,Kabul,ALCO,Alcoholic Beverages And Tobacco ,150.69,60.6
2019_04_AFG_CLTH,2019_04,AFG,Afghanistan,Afghanistan,Kabul,CLTH,Clothing And Footwear ,1.39,37.9
2019_04_AFG_HOUS,2019_04,AFG,Afghanistan,Afghanistan,Kabul,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1050.35,41.46
2019_04_AFG_FURN,2019_04,AFG,Afghanistan,Afghanistan,Kabul,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",,
2019_04_AFG_HEAL,2019_04,AFG,Afghanistan,Afghanistan,Kabul,HEAL,Health ,,
2019_04_AFG_TRNS,2019_04,AFG,Afghanistan,Afghanistan,Kabul,TRNS,Transport ,,
2019_04_AFG_COMM,2019_04,AFG,Afghanistan,Afghanistan,Kabul,COMM,Communication ,,
2019_04_AFG_CLTR,2019_04,AFG,Afghanistan,Afghanistan,Kabul,CLTR,Recreation And Culture ,,
2019_04_AFG_EDUC,2019_04,AFG,Afghanistan,Afghanistan,Kabul,EDUC,Education ,,
2019_04_AFG_RHTL,2019_04,AFG,Afghanistan,Afghanistan,Kabul,RHTL,Restaurants And Hotels ,191.29,49.84
2019_04_AFG_MISC,2019_04,AFG,Afghanistan,Afghanistan,Kabul,MISC,Miscellaneous Goods And Services ,122.58,78.43
2019_04_AFG_MEDI,2019_04,AFG,Afghanistan,Afghanistan,Kabul,MEDI,Medical Insurance ,392.75,51.0
2019_04_AFG_PNSN,2019_04,AFG,Afghanistan,Afghanistan,Kabul,PNSN,Pension Contribution ,899.71,100.0
2019_04_AFG_OUTA,2019_04,AFG,Afghanistan,Afghanistan,Kabul,OUTA,Out Area ,4921.38,100.0
2019_04_AFG_TOTL,2019_04,AFG,Afghanistan,Afghanistan,Kabul,TOTL,Total,8202.3,87.09410073466731
2019_04_ALB_FOOD,2019_04,ALB,Albania,Albania,Tirana,FOOD,Food And Non-alcoholic Beverages ,535.29,58.0
2019_04_ALB_ALCO,2019_04,ALB,Albania,Albania,Tirana,ALCO,Alcoholic Beverages And Tobacco ,91.74,55.98
2019_04_ALB_CLTH,2019_04,ALB,Albania,Albania,Tirana,CLTH,Clothing And Footwear ,212.53,49.79
2019_04_ALB_HOUS,2019_04,ALB,Albania,Albania,Tirana,HOUS,"Housing, Water, Electricity, Gas And Fuels ",2197.71,53.64
2019_04_ALB_FURN,2019_04,ALB,Albania,Albania,Tirana,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",81.72,62.92
2019_04_ALB_HEAL,2019_04,ALB,Albania,Albania,Tirana,HEAL,Health ,66.65,42.76
2019_04_ALB_TRNS,2019_04,ALB,Albania,Albania,Tirana,TRNS,Transport ,360.36,66.81
2019_04_ALB_COMM,2019_04,ALB,Albania,Albania,Tirana,COMM,Communication ,83.64,91.24
2019_04_ALB_CLTR,2019_04,ALB,Albania,Albania,Tirana,CLTR,Recreation And Culture ,279.61,68.67
2019_04_ALB_EDUC,2019_04,ALB,Albania,Albania,Tirana,EDUC,Education ,235.08,41.37
2019_04_ALB_RHTL,2019_04,ALB,Albania,Albania,Tirana,RHTL,Restaurants And Hotels ,374.19,60.75
2019_04_ALB_MISC,2019_04,ALB,Albania,Albania,Tirana,MISC,Miscellaneous Goods And Services ,120.25,60.78
2019_04_ALB_MEDI,2019_04,ALB,Albania,Albania,Tirana,MEDI,Medical Insurance ,332.88,29.38
2019_04_ALB_PNSN,2019_04,ALB,Albania,Albania,Tirana,PNSN,Pension Contribution ,1092.52,100.0
2019_04_ALB_OUTA,2019_04,ALB,Albania,Albania,Tirana,OUTA,Out Area ,2598.93,100.0
2019_04_ALB_TOTL,2019_04,ALB,Albania,Albania,Tirana,TOTL,Total,8663.1,73.89467740766547
2019_04_DZA_FOOD,2019_04,DZA,Algeria,Algeria,Algiers,FOOD,Food And Non-alcoholic Beverages ,348.16,61.6
2019_04_DZA_ALCO,2019_04,DZA,Algeria,Algeria,Algiers,ALCO,Alcoholic Beverages And Tobacco ,48.68,85.98
2019_04_DZA_CLTH,2019_04,DZA,Algeria,Algeria,Algiers,CLTH,Clothing And Footwear ,68.98,57.96
2019_04_DZA_HOUS,2019_04,DZA,Algeria,Algeria,Algiers,HOUS,"Housing, Water, Electricity, Gas And Fuels ",2539.75,71.47
2019_04_DZA_FURN,2019_04,DZA,Algeria,Algeria,Algiers,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",45.44,71.06
2019_04_DZA_HEAL,2019_04,DZA,Algeria,Algeria,Algiers,HEAL,Health ,49.46,79.78
2019_04_DZA_TRNS,2019_04,DZA,Algeria,Algeria,Algiers,TRNS,Transport ,218.75,65.58
2019_04_DZA_COMM,2019_04,DZA,Algeria,Algeria,Algiers,COMM,Communication ,72.52,65.83
2019_04_DZA_CLTR,2019_04,DZA,Algeria,Algeria,Algiers,CLTR,Recreation And Culture ,60.55,50.56
2019_04_DZA_EDUC,2019_04,DZA,Algeria,Algeria,Algiers,EDUC,Education ,89.32,
2019_04_DZA_RHTL,2019_04,DZA,Algeria,Algeria,Algiers,RHTL,Restaurants And Hotels ,221.26,71.84
2019_04_DZA_MISC,2019_04,DZA,Algeria,Algeria,Algiers,MISC,Miscellaneous Goods And Services ,59.61,139.46
2019_04_DZA_MEDI,2019_04,DZA,Algeria,Algeria,Algiers,MEDI,Medical Insurance ,392.18,37.07
2019_04_DZA_PNSN,2019_04,DZA,Algeria,Algeria,Algiers,PNSN,Pension Contribution ,1058.01,100.0
2019_04_DZA_OUTA,2019_04,DZA,Algeria,Algeria,Algiers,OUTA,Out Area ,3515.12,100.0
2019_04_DZA_TOTL,2019_04,DZA,Algeria,Algeria,Algiers,TOTL,Total,8787.79,84.2971468366923
2019_04_AGO_FOOD,2019_04,AGO,Angola,Angola,Luanda,FOOD,Food And Non-alcoholic Beverages ,1006.46,119.3
2019_04_AGO_ALCO,2019_04,AGO,Angola,Angola,Luanda,ALCO,Alcoholic Beverages And Tobacco ,139.66,97.74
2019_04_AGO_CLTH,2019_04,AGO,Angola,Angola,Luanda,CLTH,Clothing And Footwear ,113.87,81.12
2019_04_AGO_HOUS,2019_04,AGO,Angola,Angola,Luanda,HOUS,"Housing, Water, Electricity, Gas And Fuels ",4919.1,111.52
2019_04_AGO_FURN,2019_04,AGO,Angola,Angola,Luanda,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",141.5,146.61
2019_04_AGO_HEAL,2019_04,AGO,Angola,Angola,Luanda,HEAL,Health ,146.96,65.02
2019_04_AGO_TRNS,2019_04,AGO,Angola,Angola,Luanda,TRNS,Transport ,558.23,105.14
2019_04_AGO_COMM,2019_04,AGO,Angola,Angola,Luanda,COMM,Communication ,206.83,62.72
2019_04_AGO_CLTR,2019_04,AGO,Angola,Angola,Luanda,CLTR,Recreation And Culture ,309.96,107.79
2019_04_AGO_EDUC,2019_04,AGO,Angola,Angola,Luanda,EDUC,Education ,201.1,70.6
2019_04_AGO_RHTL,2019_04,AGO,Angola,Angola,Luanda,RHTL,Restaurants And Hotels ,571.64,108.48
2019_04_AGO_MISC,2019_04,AGO,Angola,Angola,Luanda,MISC,Miscellaneous Goods And Services ,263.42,142.97
2019_04_AGO_MEDI,2019_04,AGO,Angola,Angola,Luanda,MEDI,Medical Insurance ,588.95,48.65
2019_04_AGO_PNSN,2019_04,AGO,Angola,Angola,Luanda,PNSN,Pension Contribution ,1092.52,100.0
2019_04_AGO_OUTA,2019_04,AGO,Angola,Angola,Luanda,OUTA,Out Area ,4397.22,100.0
2019_04_AGO_TOTL,2019_04,AGO,Angola,Angola,Luanda,TOTL,Total,14657.420000000002,102.96788885016635
2019_04_ARG_FOOD,2019_04,ARG,Argentina,Argentina,Buenos Aires,FOOD,Food And Non-alcoholic Beverages ,541.01,67.65
2019_04_ARG_ALCO,2019_04,ARG,Argentina,Argentina,Buenos Aires,ALCO,Alcoholic Beverages And Tobacco ,82.8,98.54
2019_04_ARG_CLTH,2019_04,ARG,Argentina,Argentina,Buenos Aires,CLTH,Clothing And Footwear ,188.79,97.08
2019_04_ARG_HOUS,2019_04,ARG,Argentina,Argentina,Buenos Aires,HOUS,"Housing, Water, Electricity, Gas And Fuels ",2803.5,82.68
2019_04_ARG_FURN,2019_04,ARG,Argentina,Argentina,Buenos Aires,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",91.09,64.99
2019_04_ARG_HEAL,2019_04,ARG,Argentina,Argentina,Buenos Aires,HEAL,Health ,86.23,46.12
2019_04_ARG_TRNS,2019_04,ARG,Argentina,Argentina,Buenos Aires,TRNS,Transport ,393.31,56.73
2019_04_ARG_COMM,2019_04,ARG,Argentina,Argentina,Buenos Aires,COMM,Communication ,90.4,64.41
2019_04_ARG_CLTR,2019_04,ARG,Argentina,Argentina,Buenos Aires,CLTR,Recreation And Culture ,198.52,85.59
2019_04_ARG_EDUC,2019_04,ARG,Argentina,Argentina,Buenos Aires,EDUC,Education ,204.49,79.86
2019_04_ARG_RHTL,2019_04,ARG,Argentina,Argentina,Buenos Aires,RHTL,Restaurants And Hotels ,410.96,50.32
2019_04_ARG_MISC,2019_04,ARG,Argentina,Argentina,Buenos Aires,MISC,Miscellaneous Goods And Services ,135.68,58.58
2019_04_ARG_MEDI,2019_04,ARG,Argentina,Argentina,Buenos Aires,MEDI,Medical Insurance ,449.09,39.35
2019_04_ARG_PNSN,2019_04,ARG,Argentina,Argentina,Buenos Aires,PNSN,Pension Contribution ,1092.52,100.0
2019_04_ARG_OUTA,2019_04,ARG,Argentina,Argentina,Buenos Aires,OUTA,Out Area ,2900.74,100.0
2019_04_ARG_TOTL,2019_04,ARG,Argentina,Argentina,Buenos Aires,TOTL,Total,9669.130000000001,83.56032602484574
2019_04_ARM_FOOD,2019_04,ARM,Armenia,Armenia,Yerevan,FOOD,Food And Non-alcoholic Beverages ,794.72,61.24
2019_04_ARM_ALCO,2019_04,ARM,Armenia,Armenia,Yerevan,ALCO,Alcoholic Beverages And Tobacco ,121.78,82.06
2019_04_ARM_CLTH,2019_04,ARM,Armenia,Armenia,Yerevan,CLTH,Clothing And Footwear ,146.96,43.53
