unique_id,yr_month,iso_a3,cmn_cntry,un_cntry,city,cat_code,group,weight,index
2005_09_AFG_FOOD,2005_09,AFG,Afghanistan,Afghanistan,Kabul,FOOD,Food And Non-alcoholic Beverages ,366.93,100.96
2005_09_AFG_ALCO,2005_09,AFG,Afghanistan,Afghanistan,Kabul,ALCO,Alcoholic Beverages And Tobacco ,196.72,45.28
2005_09_AFG_CLTH,2005_09,AFG,Afghanistan,Afghanistan,Kabul,CLTH,Clothing And Footwear ,,
2005_09_AFG_HOUS,2005_09,AFG,Afghanistan,Afghanistan,Kabul,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1283.53,44.49
2005_09_AFG_FURN,2005_09,AFG,Afghanistan,Afghanistan,Kabul,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",,
2005_09_AFG_HEAL,2005_09,AFG,Afghanistan,Afghanistan,Kabul,HEAL,Health ,,
2005_09_AFG_TRNS,2005_09,AFG,Afghanistan,Afghanistan,Kabul,TRNS,Transport ,,
2005_09_AFG_COMM,2005_09,AFG,Afghanistan,Afghanistan,Kabul,COMM,Communication ,634.31,82.18
2005_09_AFG_CLTR,2005_09,AFG,Afghanistan,Afghanistan,Kabul,CLTR,Recreation And Culture ,,
2005_09_AFG_EDUC,2005_09,AFG,Afghanistan,Afghanistan,Kabul,EDUC,Education ,,
2005_09_AFG_RHTL,2005_09,AFG,Afghanistan,Afghanistan,Kabul,RHTL,Restaurants And Hotels ,330.14,73.77
2005_09_AFG_MISC,2005_09,AFG,Afghanistan,Afghanistan,Kabul,MISC,Miscellaneous Goods And Services ,261.66,34.69
2005_09_AFG_MEDI,2005_09,AFG,Afghanistan,Afghanistan,Kabul,MEDI,Medical Insurance ,254.98,43.66
2005_09_AFG_PNSN,2005_09,AFG,Afghanistan,Afghanistan,Kabul,PNSN,Pension Contribution ,866.74,100.0
2005_09_AFG_OUTA,2005_09,AFG,Afghanistan,Afghanistan,Kabul,OUTA,Out Area ,4195.02,100.0
2005_09_AFG_TOTL,2005_09,AFG,Afghanistan,Afghanistan,Kabul,TOTL,Total,8390.029999999999,83.26369948343654
2005_09_ALB_FOOD,2005_09,ALB,Albania,Albania,Tirana,FOOD,Food And Non-alcoholic Beverages ,1074.46,79.58
2005_09_ALB_ALCO,2005_09,ALB,Albania,Albania,Tirana,ALCO,Alcoholic Beverages And Tobacco ,101.12,62.68
2005_09_ALB_CLTH,2005_09,ALB,Albania,Albania,Tirana,CLTH,Clothing And Footwear ,,
2005_09_ALB_HOUS,2005_09,ALB,Albania,Albania,Tirana,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1267.28,50.79
2005_09_ALB_FURN,2005_09,ALB,Albania,Albania,Tirana,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",119.37,111.78
2005_09_ALB_HEAL,2005_09,ALB,Albania,Albania,Tirana,HEAL,Health ,95.52,57.11
2005_09_ALB_TRNS,2005_09,ALB,Albania,Albania,Tirana,TRNS,Transport ,221.88,88.17
2005_09_ALB_COMM,2005_09,ALB,Albania,Albania,Tirana,COMM,Communication ,276.15,147.67
2005_09_ALB_CLTR,2005_09,ALB,Albania,Albania,Tirana,CLTR,Recreation And Culture ,331.4,78.62
2005_09_ALB_EDUC,2005_09,ALB,Albania,Albania,Tirana,EDUC,Education ,,
2005_09_ALB_RHTL,2005_09,ALB,Albania,Albania,Tirana,RHTL,Restaurants And Hotels ,226.6,40.71
2005_09_ALB_MISC,2005_09,ALB,Albania,Albania,Tirana,MISC,Miscellaneous Goods And Services ,104.18,147.35
2005_09_ALB_MEDI,2005_09,ALB,Albania,Albania,Tirana,MEDI,Medical Insurance ,235.72,41.57
2005_09_ALB_PNSN,2005_09,ALB,Albania,Albania,Tirana,PNSN,Pension Contribution ,866.74,100.0
2005_09_ALB_OUTA,2005_09,ALB,Albania,Albania,Tirana,OUTA,Out Area ,3280.28,100.0
2005_09_ALB_TOTL,2005_09,ALB,Albania,Albania,Tirana,TOTL,Total,8200.699999999999,85.2180544135008
2005_09_DZA_FOOD,2005_09,DZA,Algeria,Algeria,Algiers,FOOD,Food And Non-alcoholic Beverages ,532.48,71.87
2005_09_DZA_ALCO,2005_09,DZA,Algeria,Algeria,Algiers,ALCO,Alcoholic Beverages And Tobacco ,64.1,99.68
2005_09_DZA_CLTH,2005_09,DZA,Algeria,Algeria,Algiers,CLTH,Clothing And Footwear ,,
2005_09_DZA_HOUS,2005_09,DZA,Algeria,Algeria,Algiers,HOUS,"Housing, Water, Electricity, Gas And Fuels ",2939.3,86.98
2005_09_DZA_FURN,2005_09,DZA,Algeria,Algeria,Algiers,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",60.65,95.92
2005_09_DZA_HEAL,2005_09,DZA,Algeria,Algeria,Algiers,HEAL,Health ,,
2005_09_DZA_TRNS,2005_09,DZA,Algeria,Algeria,Algiers,TRNS,Transport ,172.28,51.1
2005_09_DZA_COMM,2005_09,DZA,Algeria,Algeria,Algiers,COMM,Communication ,144.62,113.24
2005_09_DZA_CLTR,2005_09,DZA,Algeria,Algeria,Algiers,CLTR,Recreation And Culture ,231.7,63.65
2005_09_DZA_EDUC,2005_09,DZA,Algeria,Algeria,Algiers,EDUC,Education ,26.85,
2005_09_DZA_RHTL,2005_09,DZA,Algeria,Algeria,Algiers,RHTL,Restaurants And Hotels ,151.2,53.67
2005_09_DZA_MISC,2005_09,DZA,Algeria,Algeria,Algiers,MISC,Miscellaneous Goods And Services ,101.85,41.37
2005_09_DZA_MEDI,2005_09,DZA,Algeria,Algeria,Algiers,MEDI,Medical Insurance ,293.77,38.82
2005_09_DZA_PNSN,2005_09,DZA,Algeria,Algeria,Algiers,PNSN,Pension Contribution ,866.74,100.0
2005_09_DZA_OUTA,2005_09,DZA,Algeria,Algeria,Algiers,OUTA,Out Area ,2393.8,100.0
2005_09_DZA_TOTL,2005_09,DZA,Algeria,Algeria,Algiers,TOTL,Total,7979.340000000001,86.97297744608683
2005_09_AGO_FOOD,2005_09,AGO,Angola,Angola,Luanda,FOOD,Food And Non-alcoholic Beverages ,918.07,102.97
2005_09_AGO_ALCO,2005_09,AGO,Angola,Angola,Luanda,ALCO,Alcoholic Beverages And Tobacco ,109.31,97.5
2005_09_AGO_CLTH,2005_09,AGO,Angola,Angola,Luanda,CLTH,Clothing And Footwear ,,
2005_09_AGO_HOUS,2005_09,AGO,Angola,Angola,Luanda,HOUS,"Housing, Water, Electricity, Gas And Fuels ",2587.99,98.83
2005_09_AGO_FURN,2005_09,AGO,Angola,Angola,Luanda,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",106.26,134.47
2005_09_AGO_HEAL,2005_09,AGO,Angola,Angola,Luanda,HEAL,Health ,220.89,53.97
2005_09_AGO_TRNS,2005_09,AGO,Angola,Angola,Luanda,TRNS,Transport ,382.64,65.1
2005_09_AGO_COMM,2005_09,AGO,Angola,Angola,Luanda,COMM,Communication ,231.38,145.24
2005_09_AGO_CLTR,2005_09,AGO,Angola,Angola,Luanda,CLTR,Recreation And Culture ,289.65,83.68
2005_09_AGO_EDUC,2005_09,AGO,Angola,Angola,Luanda,EDUC,Education ,,
2005_09_AGO_RHTL,2005_09,AGO,Angola,Angola,Luanda,RHTL,Restaurants And Hotels ,235.18,96.27
2005_09_AGO_MISC,2005_09,AGO,Angola,Angola,Luanda,MISC,Miscellaneous Goods And Services ,183.67,93.98
2005_09_AGO_MEDI,2005_09,AGO,Angola,Angola,Luanda,MEDI,Medical Insurance ,310.15,43.71
2005_09_AGO_PNSN,2005_09,AGO,Angola,Angola,Luanda,PNSN,Pension Contribution ,866.74,100.0
2005_09_AGO_OUTA,2005_09,AGO,Angola,Angola,Luanda,OUTA,Out Area ,2760.82,100.0
2005_09_AGO_TOTL,2005_09,AGO,Angola,Angola,Luanda,TOTL,Total,9202.75,95.37399761231131
2005_09_ARG_FOOD,2005_09,ARG,Argentina,Argentina,Buenos Aires,FOOD,Food And Non-alcoholic Beverages ,675.2,55.21
2005_09_ARG_ALCO,2005_09,ARG,Argentina,Argentina,Buenos Aires,ALCO,Alcoholic Beverages And Tobacco ,76.23,75.66
2005_09_ARG_CLTH,2005_09,ARG,Argentina,Argentina,Buenos Aires,CLTH,Clothing And Footwear ,166.71,93.3
2005_09_ARG_HOUS,2005_09,ARG,Argentina,Argentina,Buenos Aires,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1287.33,52.8
2005_09_ARG_FURN,2005_09,ARG,Argentina,Argentina,Buenos Aires,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",89.24,72.0
2005_09_ARG_HEAL,2005_09,ARG,Argentina,Argentina,Buenos Aires,HEAL,Health ,189.74,50.04
2005_09_ARG_TRNS,2005_09,ARG,Argentina,Argentina,Buenos Aires,TRNS,Transport ,348.69,69.51
2005_09_ARG_COMM,2005_09,ARG,Argentina,Argentina,Buenos Aires,COMM,Communication ,170.94,87.69
2005_09_ARG_CLTR,2005_09,ARG,Argentina,Argentina,Buenos Aires,CLTR,Recreation And Culture ,259.59,72.29
2005_09_ARG_EDUC,2005_09,ARG,Argentina,Argentina,Buenos Aires,EDUC,Education ,47.51,35.07
2005_09_ARG_RHTL,2005_09,ARG,Argentina,Argentina,Buenos Aires,RHTL,Restaurants And Hotels ,127.92,38.78
2005_09_ARG_MISC,2005_09,ARG,Argentina,Argentina,Buenos Aires,MISC,Miscellaneous Goods And Services ,160.38,57.26
2005_09_ARG_MEDI,2005_09,ARG,Argentina,Argentina,Buenos Aires,MEDI,Medical Insurance ,258.8,38.52
2005_09_ARG_PNSN,2005_09,ARG,Argentina,Argentina,Buenos Aires,PNSN,Pension Contribution ,830.06,100.0
2005_09_ARG_OUTA,2005_09,ARG,Argentina,Argentina,Buenos Aires,OUTA,Out Area ,2009.29,100.0
2005_09_ARG_TOTL,2005_09,ARG,Argentina,Argentina,Buenos Aires,TOTL,Total,6697.63,75.59010162051952
2005_09_ARM_FOOD,2005_09,ARM,Armenia,Armenia,Yerevan,FOOD,Food And Non-alcoholic Beverages ,641.62,49.71
2005_09_ARM_ALCO,2005_09,ARM,Armenia,Armenia,Yerevan,ALCO,Alcoholic Beverages And Tobacco ,55.45,64.38
2005_09_ARM_CLTH,2005_09,ARM,Armenia,Armenia,Yerevan,CLTH,Clothing And Footwear ,,
2005_09_ARM_HOUS,2005_09,ARM,Armenia,Armenia,Yerevan,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1568.24,58.37
2005_09_ARM_FURN,2005_09,ARM,Armenia,Armenia,Yerevan,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",25.49,63.54
2005_09_ARM_HEAL,2005_09,ARM,Armenia,Armenia,Yerevan,HEAL,Health ,,
2005_09_ARM_TRNS,2005_09,ARM,Armenia,Armenia,Yerevan,TRNS,Transport ,254.1,48.65
2005_09_ARM_COMM,2005_09,ARM,Armenia,Armenia,Yerevan,COMM,Communication ,180.66,232.39
2005_09_ARM_CLTR,2005_09,ARM,Armenia,Armenia,Yerevan,CLTR,Recreation And Culture ,229.23,36.52
2005_09_ARM_EDUC,2005_09,ARM,Armenia,Armenia,Yerevan,EDUC,Education ,76.32,49.73
2005_09_ARM_RHTL,2005_09,ARM,Armenia,Armenia,Yerevan,RHTL,Restaurants And Hotels ,182.38,39.34
2005_09_ARM_MISC,2005_09,ARM,Armenia,Armenia,Yerevan,MISC,Miscellaneous Goods And Services ,127.23,21.88
2005_09_ARM_MEDI,2005_09,ARM,Armenia,Armenia,Yerevan,MEDI,Medical Insurance ,269.34,40.52
2005_09_ARM_PNSN,2005_09,ARM,Armenia,Armenia,Yerevan,PNSN,Pension Contribution ,830.06,100.0
2005_09_ARM_OUTA,2005_09,ARM,Armenia,Armenia,Yerevan,OUTA,Out Area ,2960.08,100.0
2005_09_ARM_TOTL,2005_09,ARM,Armenia,Armenia,Yerevan,TOTL,Total,7400.2,77.48927514892334
2005_09_AUS_FOOD,2005_09,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",FOOD,Food And Non-alcoholic Beverages ,437.78,90.7
2005_09_AUS_ALCO,2005_09,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",ALCO,Alcoholic Beverages And Tobacco ,53.61,158.95
2005_09_AUS_CLTH,2005_09,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",CLTH,Clothing And Footwear ,114.81,104.31
2005_09_AUS_HOUS,2005_09,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",HOUS,"Housing, Water, Electricity, Gas And Fuels ",1660.06,85.5
2005_09_AUS_FURN,2005_09,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",229.55,111.97
2005_09_AUS_HEAL,2005_09,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",HEAL,Health ,142.24,79.06
2005_09_AUS_TRNS,2005_09,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",TRNS,Transport ,359.56,86.07
2005_09_AUS_COMM,2005_09,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",COMM,Communication ,109.07,87.51
2005_09_AUS_CLTR,2005_09,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",CLTR,Recreation And Culture ,229.68,105.87
2005_09_AUS_EDUC,2005_09,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",EDUC,Education ,45.59,31.85
2005_09_AUS_RHTL,2005_09,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",RHTL,Restaurants And Hotels ,112.83,61.81
2005_09_AUS_MISC,2005_09,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",MISC,Miscellaneous Goods And Services ,114.09,74.8
2005_09_AUS_MEDI,2005_09,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",MEDI,Medical Insurance ,225.3,43.9
2005_09_AUS_PNSN,2005_09,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",PNSN,Pension Contribution ,789.07,100.0
2005_09_AUS_OUTA,2005_09,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",OUTA,Out Area ,1515.75,100.0
2005_09_AUS_TOTL,2005_09,AUS,Australia,Australia,"Canberra , Melbourne and Sydney",TOTL,Total,6138.990000000001,90.69736275335516
2005_09_AUT_FOOD,2005_09,AUT,Austria,Austria,Vienna,FOOD,Food And Non-alcoholic Beverages ,438.5,101.08
2005_09_AUT_ALCO,2005_09,AUT,Austria,Austria,Vienna,ALCO,Alcoholic Beverages And Tobacco ,53.7,90.04
2005_09_AUT_CLTH,2005_09,AUT,Austria,Austria,Vienna,CLTH,Clothing And Footwear ,115.0,132.67
2005_09_AUT_HOUS,2005_09,AUT,Austria,Austria,Vienna,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1229.22,55.45
2005_09_AUT_FURN,2005_09,AUT,Austria,Austria,Vienna,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",229.92,98.24
2005_09_AUT_HEAL,2005_09,AUT,Austria,Austria,Vienna,HEAL,Health ,142.48,86.16
2005_09_AUT_TRNS,2005_09,AUT,Austria,Austria,Vienna,TRNS,Transport ,360.15,153.73
2005_09_AUT_COMM,2005_09,AUT,Austria,Austria,Vienna,COMM,Communication ,109.25,274.77
2005_09_AUT_CLTR,2005_09,AUT,Austria,Austria,Vienna,CLTR,Recreation And Culture ,230.06,127.96
2005_09_AUT_EDUC,2005_09,AUT,Austria,Austria,Vienna,EDUC,Education ,45.67,66.72
2005_09_AUT_RHTL,2005_09,AUT,Austria,Austria,Vienna,RHTL,Restaurants And Hotels ,113.02,101.1
2005_09_AUT_MISC,2005_09,AUT,Austria,Austria,Vienna,MISC,Miscellaneous Goods And Services ,114.27,112.85
2005_09_AUT_MEDI,2005_09,AUT,Austria,Austria,Vienna,MEDI,Medical Insurance ,334.42,67.45
2005_09_AUT_PNSN,2005_09,AUT,Austria,Austria,Vienna,PNSN,Pension Contribution ,698.93,100.0
2005_09_AUT_OUTA,2005_09,AUT,Austria,Austria,Vienna,OUTA,Out Area ,1379.17,100.0
2005_09_AUT_TOTL,2005_09,AUT,Austria,Austria,Vienna,TOTL,Total,5593.76,94.58318679598958
