unique_id,yr_month,iso_a3,cmn_cntry,un_cntry,city,cat_code,group,weight,index
2008_08_AFG_FOOD,2008_08,AFG,Afghanistan,Afghanistan,Kabul,FOOD,Food And Non-alcoholic Beverages ,472.16,100.9
2008_08_AFG_ALCO,2008_08,AFG,Afghanistan,Afghanistan,Kabul,ALCO,Alcoholic Beverages And Tobacco ,150.69,71.14
2008_08_AFG_CLTH,2008_08,AFG,Afghanistan,Afghanistan,Kabul,CLTH,Clothing And Footwear ,1.39,48.54
2008_08_AFG_HOUS,2008_08,AFG,Afghanistan,Afghanistan,Kabul,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1050.35,47.14
2008_08_AFG_FURN,2008_08,AFG,Afghanistan,Afghanistan,Kabul,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",,
2008_08_AFG_HEAL,2008_08,AFG,Afghanistan,Afghanistan,Kabul,HEAL,Health ,,
2008_08_AFG_TRNS,2008_08,AFG,Afghanistan,Afghanistan,Kabul,TRNS,Transport ,,
2008_08_AFG_COMM,2008_08,AFG,Afghanistan,Afghanistan,Kabul,COMM,Communication ,,
2008_08_AFG_CLTR,2008_08,AFG,Afghanistan,Afghanistan,Kabul,CLTR,Recreation And Culture ,,
2008_08_AFG_EDUC,2008_08,AFG,Afghanistan,Afghanistan,Kabul,EDUC,Education ,,
2008_08_AFG_RHTL,2008_08,AFG,Afghanistan,Afghanistan,Kabul,RHTL,Restaurants And Hotels ,191.29,65.04
2008_08_AFG_MISC,2008_08,AFG,Afghanistan,Afghanistan,Kabul,MISC,Miscellaneous Goods And Services ,122.58,86.12
2008_08_AFG_MEDI,2008_08,AFG,Afghanistan,Afghanistan,Kabul,MEDI,Medical Insurance ,392.75,47.87
2008_08_AFG_PNSN,2008_08,AFG,Afghanistan,Afghanistan,Kabul,PNSN,Pension Contribution ,899.71,100.0
2008_08_AFG_OUTA,2008_08,AFG,Afghanistan,Afghanistan,Kabul,OUTA,Out Area ,4921.38,100.0
2008_08_AFG_TOTL,2008_08,AFG,Afghanistan,Afghanistan,Kabul,TOTL,Total,8202.3,89.05841726887718
2008_08_ALB_FOOD,2008_08,ALB,Albania,Albania,Tirana,FOOD,Food And Non-alcoholic Beverages ,849.31,77.79
2008_08_ALB_ALCO,2008_08,ALB,Albania,Albania,Tirana,ALCO,Alcoholic Beverages And Tobacco ,108.7,92.2
2008_08_ALB_CLTH,2008_08,ALB,Albania,Albania,Tirana,CLTH,Clothing And Footwear ,4.88,67.68
2008_08_ALB_HOUS,2008_08,ALB,Albania,Albania,Tirana,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1673.99,56.85
2008_08_ALB_FURN,2008_08,ALB,Albania,Albania,Tirana,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",97.07,120.77
2008_08_ALB_HEAL,2008_08,ALB,Albania,Albania,Tirana,HEAL,Health ,170.85,74.52
2008_08_ALB_TRNS,2008_08,ALB,Albania,Albania,Tirana,TRNS,Transport ,378.26,106.6
2008_08_ALB_COMM,2008_08,ALB,Albania,Albania,Tirana,COMM,Communication ,152.37,171.67
2008_08_ALB_CLTR,2008_08,ALB,Albania,Albania,Tirana,CLTR,Recreation And Culture ,263.54,103.98
2008_08_ALB_EDUC,2008_08,ALB,Albania,Albania,Tirana,EDUC,Education ,44.58,36.35
2008_08_ALB_RHTL,2008_08,ALB,Albania,Albania,Tirana,RHTL,Restaurants And Hotels ,226.19,55.92
2008_08_ALB_MISC,2008_08,ALB,Albania,Albania,Tirana,MISC,Miscellaneous Goods And Services ,154.51,80.64
2008_08_ALB_MEDI,2008_08,ALB,Albania,Albania,Tirana,MEDI,Medical Insurance ,342.54,41.06
2008_08_ALB_PNSN,2008_08,ALB,Albania,Albania,Tirana,PNSN,Pension Contribution ,948.26,100.0
2008_08_ALB_OUTA,2008_08,ALB,Albania,Albania,Tirana,OUTA,Out Area ,3610.03,100.0
2008_08_ALB_TOTL,2008_08,ALB,Albania,Albania,Tirana,TOTL,Total,9025.08,86.1551809587256
2008_08_DZA_FOOD,2008_08,DZA,Algeria,Algeria,Algiers,FOOD,Food And Non-alcoholic Beverages ,874.71,78.14
2008_08_DZA_ALCO,2008_08,DZA,Algeria,Algeria,Algiers,ALCO,Alcoholic Beverages And Tobacco ,110.11,106.25
2008_08_DZA_CLTH,2008_08,DZA,Algeria,Algeria,Algiers,CLTH,Clothing And Footwear ,4.82,54.86
2008_08_DZA_HOUS,2008_08,DZA,Algeria,Algeria,Algiers,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1998.56,67.24
2008_08_DZA_FURN,2008_08,DZA,Algeria,Algeria,Algiers,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",66.65,116.36
2008_08_DZA_HEAL,2008_08,DZA,Algeria,Algeria,Algiers,HEAL,Health ,69.69,214.0
2008_08_DZA_TRNS,2008_08,DZA,Algeria,Algeria,Algiers,TRNS,Transport ,147.34,76.9
2008_08_DZA_COMM,2008_08,DZA,Algeria,Algeria,Algiers,COMM,Communication ,188.06,75.82
2008_08_DZA_CLTR,2008_08,DZA,Algeria,Algeria,Algiers,CLTR,Recreation And Culture ,298.65,103.17
2008_08_DZA_EDUC,2008_08,DZA,Algeria,Algeria,Algiers,EDUC,Education ,,
2008_08_DZA_RHTL,2008_08,DZA,Algeria,Algeria,Algiers,RHTL,Restaurants And Hotels ,192.85,70.25
2008_08_DZA_MISC,2008_08,DZA,Algeria,Algeria,Algiers,MISC,Miscellaneous Goods And Services ,136.06,39.89
