unique_id,yr_month,iso_a3,cmn_cntry,un_cntry,city,cat_code,group,weight,index
2011_08_AFG_FOOD,2011_08,AFG,Afghanistan,Afghanistan,Kabul,FOOD,Food And Non-alcoholic Beverages ,472.16,95.35
2011_08_AFG_ALCO,2011_08,AFG,Afghanistan,Afghanistan,Kabul,ALCO,Alcoholic Beverages And Tobacco ,150.69,67.05
2011_08_AFG_CLTH,2011_08,AFG,Afghanistan,Afghanistan,Kabul,CLTH,Clothing And Footwear ,1.39,45.83
2011_08_AFG_HOUS,2011_08,AFG,Afghanistan,Afghanistan,Kabul,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1050.35,49.45
2011_08_AFG_FURN,2011_08,AFG,Afghanistan,Afghanistan,Kabul,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",,
2011_08_AFG_HEAL,2011_08,AFG,Afghanistan,Afghanistan,Kabul,HEAL,Health ,,
2011_08_AFG_TRNS,2011_08,AFG,Afghanistan,Afghanistan,Kabul,TRNS,Transport ,,
2011_08_AFG_COMM,2011_08,AFG,Afghanistan,Afghanistan,Kabul,COMM,Communication ,,
2011_08_AFG_CLTR,2011_08,AFG,Afghanistan,Afghanistan,Kabul,CLTR,Recreation And Culture ,,
2011_08_AFG_EDUC,2011_08,AFG,Afghanistan,Afghanistan,Kabul,EDUC,Education ,,
2011_08_AFG_RHTL,2011_08,AFG,Afghanistan,Afghanistan,Kabul,RHTL,Restaurants And Hotels ,191.29,60.78
2011_08_AFG_MISC,2011_08,AFG,Afghanistan,Afghanistan,Kabul,MISC,Miscellaneous Goods And Services ,122.58,83.53
2011_08_AFG_MEDI,2011_08,AFG,Afghanistan,Afghanistan,Kabul,MEDI,Medical Insurance ,392.75,46.98
2011_08_AFG_PNSN,2011_08,AFG,Afghanistan,Afghanistan,Kabul,PNSN,Pension Contribution ,899.71,100.0
2011_08_AFG_OUTA,2011_08,AFG,Afghanistan,Afghanistan,Kabul,OUTA,Out Area ,4921.38,100.0
2011_08_AFG_TOTL,2011_08,AFG,Afghanistan,Afghanistan,Kabul,TOTL,Total,8202.3,88.781189717591
2011_08_ALB_FOOD,2011_08,ALB,Albania,Albania,Tirana,FOOD,Food And Non-alcoholic Beverages ,1219.88,67.31
2011_08_ALB_ALCO,2011_08,ALB,Albania,Albania,Tirana,ALCO,Alcoholic Beverages And Tobacco ,135.98,93.81
2011_08_ALB_CLTH,2011_08,ALB,Albania,Albania,Tirana,CLTH,Clothing And Footwear ,68.44,89.85
2011_08_ALB_HOUS,2011_08,ALB,Albania,Albania,Tirana,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1641.98,56.65
2011_08_ALB_FURN,2011_08,ALB,Albania,Albania,Tirana,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",147.75,88.25
2011_08_ALB_HEAL,2011_08,ALB,Albania,Albania,Tirana,HEAL,Health ,265.56,49.55
2011_08_ALB_TRNS,2011_08,ALB,Albania,Albania,Tirana,TRNS,Transport ,464.59,69.07
2011_08_ALB_COMM,2011_08,ALB,Albania,Albania,Tirana,COMM,Communication ,257.84,111.09
2011_08_ALB_CLTR,2011_08,ALB,Albania,Albania,Tirana,CLTR,Recreation And Culture ,339.7,77.87
2011_08_ALB_EDUC,2011_08,ALB,Albania,Albania,Tirana,EDUC,Education ,101.98,47.41
2011_08_ALB_RHTL,2011_08,ALB,Albania,Albania,Tirana,RHTL,Restaurants And Hotels ,306.21,74.82
