unique_id,yr_month,iso_a3,cmn_cntry,un_cntry,city,cat_code,group,weight,index
2021_08_AFG_FOOD,2021_08,AFG,Afghanistan,Afghanistan,Kabul,FOOD,Food And Non-alcoholic Beverages ,472.16,84.87
2021_08_AFG_ALCO,2021_08,AFG,Afghanistan,Afghanistan,Kabul,ALCO,Alcoholic Beverages And Tobacco ,150.69,58.22
2021_08_AFG_CLTH,2021_08,AFG,Afghanistan,Afghanistan,Kabul,CLTH,Clothing And Footwear ,1.39,35.65
2021_08_AFG_HOUS,2021_08,AFG,Afghanistan,Afghanistan,Kabul,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1050.35,40.36
2021_08_AFG_FURN,2021_08,AFG,Afghanistan,Afghanistan,Kabul,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",,
2021_08_AFG_HEAL,2021_08,AFG,Afghanistan,Afghanistan,Kabul,HEAL,Health ,,
2021_08_AFG_TRNS,2021_08,AFG,Afghanistan,Afghanistan,Kabul,TRNS,Transport ,,
2021_08_AFG_COMM,2021_08,AFG,Afghanistan,Afghanistan,Kabul,COMM,Communication ,,
2021_08_AFG_CLTR,2021_08,AFG,Afghanistan,Afghanistan,Kabul,CLTR,Recreation And Culture ,,
2021_08_AFG_EDUC,2021_08,AFG,Afghanistan,Afghanistan,Kabul,EDUC,Education ,,
2021_08_AFG_RHTL,2021_08,AFG,Afghanistan,Afghanistan,Kabul,RHTL,Restaurants And Hotels ,191.29,45.95
2021_08_AFG_MISC,2021_08,AFG,Afghanistan,Afghanistan,Kabul,MISC,Miscellaneous Goods And Services ,122.58,75.68
2021_08_AFG_MEDI,2021_08,AFG,Afghanistan,Afghanistan,Kabul,MEDI,Medical Insurance ,392.75,45.98
2021_08_AFG_PNSN,2021_08,AFG,Afghanistan,Afghanistan,Kabul,PNSN,Pension Contribution ,899.71,100.0
2021_08_AFG_OUTA,2021_08,AFG,Afghanistan,Afghanistan,Kabul,OUTA,Out Area ,4921.38,100.0
2021_08_AFG_TOTL,2021_08,AFG,Afghanistan,Afghanistan,Kabul,TOTL,Total,8202.3,86.2709682675695
2021_08_ALB_FOOD,2021_08,ALB,Albania,Albania,Tirana,FOOD,Food And Non-alcoholic Beverages ,535.29,66.68
