unique_id,yr_month,iso_a3,cmn_cntry,un_cntry,city,cat_code,group,weight,index
2006_03_AFG_FOOD,2006_03,AFG,Afghanistan,Afghanistan,Kabul,FOOD,Food And Non-alcoholic Beverages ,366.93,99.61
2006_03_AFG_ALCO,2006_03,AFG,Afghanistan,Afghanistan,Kabul,ALCO,Alcoholic Beverages And Tobacco ,196.72,44.39
2006_03_AFG_CLTH,2006_03,AFG,Afghanistan,Afghanistan,Kabul,CLTH,Clothing And Footwear ,,
2006_03_AFG_HOUS,2006_03,AFG,Afghanistan,Afghanistan,Kabul,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1283.53,43.9
2006_03_AFG_FURN,2006_03,AFG,Afghanistan,Afghanistan,Kabul,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",,
2006_03_AFG_HEAL,2006_03,AFG,Afghanistan,Afghanistan,Kabul,HEAL,Health ,,
2006_03_AFG_TRNS,2006_03,AFG,Afghanistan,Afghanistan,Kabul,TRNS,Transport ,,
2006_03_AFG_COMM,2006_03,AFG,Afghanistan,Afghanistan,Kabul,COMM,Communication ,634.31,80.45
2006_03_AFG_CLTR,2006_03,AFG,Afghanistan,Afghanistan,Kabul,CLTR,Recreation And Culture ,,
2006_03_AFG_EDUC,2006_03,AFG,Afghanistan,Afghanistan,Kabul,EDUC,Education ,,
2006_03_AFG_RHTL,2006_03,AFG,Afghanistan,Afghanistan,Kabul,RHTL,Restaurants And Hotels ,330.14,72.69
2006_03_AFG_MISC,2006_03,AFG,Afghanistan,Afghanistan,Kabul,MISC,Miscellaneous Goods And Services ,261.66,34.03
2006_03_AFG_MEDI,2006_03,AFG,Afghanistan,Afghanistan,Kabul,MEDI,Medical Insurance ,254.98,46.78
2006_03_AFG_PNSN,2006_03,AFG,Afghanistan,Afghanistan,Kabul,PNSN,Pension Contribution ,866.74,100.0
2006_03_AFG_OUTA,2006_03,AFG,Afghanistan,Afghanistan,Kabul,OUTA,Out Area ,4195.02,100.0
2006_03_AFG_TOTL,2006_03,AFG,Afghanistan,Afghanistan,Kabul,TOTL,Total,8390.029999999999,83.004081339215
2006_03_ALB_FOOD,2006_03,ALB,Albania,Albania,Tirana,FOOD,Food And Non-alcoholic Beverages ,1074.46,79.93
2006_03_ALB_ALCO,2006_03,ALB,Albania,Albania,Tirana,ALCO,Alcoholic Beverages And Tobacco ,101.12,59.5
2006_03_ALB_CLTH,2006_03,ALB,Albania,Albania,Tirana,CLTH,Clothing And Footwear ,,
2006_03_ALB_HOUS,2006_03,ALB,Albania,Albania,Tirana,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1267.28,48.23
2006_03_ALB_FURN,2006_03,ALB,Albania,Albania,Tirana,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",119.37,104.82
2006_03_ALB_HEAL,2006_03,ALB,Albania,Albania,Tirana,HEAL,Health ,95.52,54.37
2006_03_ALB_TRNS,2006_03,ALB,Albania,Albania,Tirana,TRNS,Transport ,221.88,87.53
2006_03_ALB_COMM,2006_03,ALB,Albania,Albania,Tirana,COMM,Communication ,276.15,139.35
2006_03_ALB_CLTR,2006_03,ALB,Albania,Albania,Tirana,CLTR,Recreation And Culture ,331.4,75.87
2006_03_ALB_EDUC,2006_03,ALB,Albania,Albania,Tirana,EDUC,Education ,,
2006_03_ALB_RHTL,2006_03,ALB,Albania,Albania,Tirana,RHTL,Restaurants And Hotels ,226.6,39.05
2006_03_ALB_MISC,2006_03,ALB,Albania,Albania,Tirana,MISC,Miscellaneous Goods And Services ,104.18,140.5
2006_03_ALB_MEDI,2006_03,ALB,Albania,Albania,Tirana,MEDI,Medical Insurance ,235.72,44.67
2006_03_ALB_PNSN,2006_03,ALB,Albania,Albania,Tirana,PNSN,Pension Contribution ,866.74,100.0
2006_03_ALB_OUTA,2006_03,ALB,Albania,Albania,Tirana,OUTA,Out Area ,3280.28,100.0
2006_03_ALB_TOTL,2006_03,ALB,Albania,Albania,Tirana,TOTL,Total,8200.699999999999,84.34822086881742
2006_03_DZA_FOOD,2006_03,DZA,Algeria,Algeria,Algiers,FOOD,Food And Non-alcoholic Beverages ,532.48,71.71
2006_03_DZA_ALCO,2006_03,DZA,Algeria,Algeria,Algiers,ALCO,Alcoholic Beverages And Tobacco ,64.1,98.83
2006_03_DZA_CLTH,2006_03,DZA,Algeria,Algeria,Algiers,CLTH,Clothing And Footwear ,,
2006_03_DZA_HOUS,2006_03,DZA,Algeria,Algeria,Algiers,HOUS,"Housing, Water, Electricity, Gas And Fuels ",2939.3,86.78
2006_03_DZA_FURN,2006_03,DZA,Algeria,Algeria,Algiers,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",60.65,94.72
2006_03_DZA_HEAL,2006_03,DZA,Algeria,Algeria,Algiers,HEAL,Health ,,
2006_03_DZA_TRNS,2006_03,DZA,Algeria,Algeria,Algiers,TRNS,Transport ,172.28,52.44
2006_03_DZA_COMM,2006_03,DZA,Algeria,Algeria,Algiers,COMM,Communication ,144.62,112.8
2006_03_DZA_CLTR,2006_03,DZA,Algeria,Algeria,Algiers,CLTR,Recreation And Culture ,231.7,64.76
2006_03_DZA_EDUC,2006_03,DZA,Algeria,Algeria,Algiers,EDUC,Education ,26.85,
2006_03_DZA_RHTL,2006_03,DZA,Algeria,Algeria,Algiers,RHTL,Restaurants And Hotels ,151.2,53.47
2006_03_DZA_MISC,2006_03,DZA,Algeria,Algeria,Algiers,MISC,Miscellaneous Goods And Services ,101.85,41.04
2006_03_DZA_MEDI,2006_03,DZA,Algeria,Algeria,Algiers,MEDI,Medical Insurance ,293.77,44.63
2006_03_DZA_PNSN,2006_03,DZA,Algeria,Algeria,Algiers,PNSN,Pension Contribution ,866.74,100.0
2006_03_DZA_OUTA,2006_03,DZA,Algeria,Algeria,Algiers,OUTA,Out Area ,2393.8,100.0
