unique_id,yr_month,iso_a3,cmn_cntry,un_cntry,city,cat_code,group,weight,index
2022_02_AFG_FOOD,2022_02,AFG,Afghanistan,Afghanistan,Kabul,FOOD,Food And Non-alcoholic Beverages ,472.16,80.29
2022_02_AFG_ALCO,2022_02,AFG,Afghanistan,Afghanistan,Kabul,ALCO,Alcoholic Beverages And Tobacco ,150.69,57.46
2022_02_AFG_CLTH,2022_02,AFG,Afghanistan,Afghanistan,Kabul,CLTH,Clothing And Footwear ,1.39,33.39
2022_02_AFG_HOUS,2022_02,AFG,Afghanistan,Afghanistan,Kabul,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1050.35,40.04
2022_02_AFG_FURN,2022_02,AFG,Afghanistan,Afghanistan,Kabul,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",,
2022_02_AFG_HEAL,2022_02,AFG,Afghanistan,Afghanistan,Kabul,HEAL,Health ,,
2022_02_AFG_TRNS,2022_02,AFG,Afghanistan,Afghanistan,Kabul,TRNS,Transport ,,
2022_02_AFG_COMM,2022_02,AFG,Afghanistan,Afghanistan,Kabul,COMM,Communication ,,
2022_02_AFG_CLTR,2022_02,AFG,Afghanistan,Afghanistan,Kabul,CLTR,Recreation And Culture ,,
2022_02_AFG_EDUC,2022_02,AFG,Afghanistan,Afghanistan,Kabul,EDUC,Education ,,
2022_02_AFG_RHTL,2022_02,AFG,Afghanistan,Afghanistan,Kabul,RHTL,Restaurants And Hotels ,191.29,44.02
2022_02_AFG_MISC,2022_02,AFG,Afghanistan,Afghanistan,Kabul,MISC,Miscellaneous Goods And Services ,122.58,72.73
2022_02_AFG_MEDI,2022_02,AFG,Afghanistan,Afghanistan,Kabul,MEDI,Medical Insurance ,392.75,44.41
2022_02_AFG_PNSN,2022_02,AFG,Afghanistan,Afghanistan,Kabul,PNSN,Pension Contribution ,899.71,100.0
2022_02_AFG_OUTA,2022_02,AFG,Afghanistan,Afghanistan,Kabul,OUTA,Out Area ,4921.38,100.0
2022_02_AFG_TOTL,2022_02,AFG,Afghanistan,Afghanistan,Kabul,TOTL,Total,8202.3,85.81281034564105
2022_02_ALB_FOOD,2022_02,ALB,Albania,Albania,Tirana,FOOD,Food And Non-alcoholic Beverages ,535.29,62.32
2022_02_ALB_ALCO,2022_02,ALB,Albania,Albania,Tirana,ALCO,Alcoholic Beverages And Tobacco ,91.74,58.01
2022_02_ALB_CLTH,2022_02,ALB,Albania,Albania,Tirana,CLTH,Clothing And Footwear ,212.53,50.89
